lemma,pos,cefr
piggeries,noun,C2
Pistoles,name,C2
pitmaster,noun,C2
ponderously,adverb,C2
Poorman,name,C2
preconception,noun,C2
presuppose,verb,C2
promenade,noun,C2
prostrate,verb,C2
Puga,name,C2
pullup,noun,C2
punitive,adjective,C2
Périgord,name,C2
Qalandia,name,C2
QOQ,adj,C2
queried,verb,C2
quire,verb,C2
Rajgir,name,C2
rangement,noun,C2
rankled,verb,C2
rapturously,adverb,C2
recourse,noun,C2
relinquish,verb,C2
replaceable,adj,C2
requisition,noun,C2
retrospective,adjective,C2
revegetation,noun,C2
Rexy,name,C2
RFRA,name,C2
rhesus,noun,C2
Rieti,name,C2
rife,adjective,C2
roars,verb,C2
rockslides,noun,C2
roomed,adj,C2
Rosenfield,name,C2
ROTW,noun,C2
Rundle,name,C2
Sabey,name,C2
scholarly,adjective,C2
semikhah,noun,C2
Senga,name,C2
shimmer,verb,C2
shovels,noun,C2
sidewinders,noun,C2
skep,verb,C2
smarten,verb,C2
solicit,verb,C2
splinter,verb,C2
squatty,adj,C2
starbases,noun,C2
stoicism,noun,C2
stoled,verb,C2
Stonehaven,name,C2
stum,verb,C2
subdomain,noun,C2
substantiate,verb,C2
superinfection,noun,C2
superintendents,noun,C2
Surette,name,C2
surrealism,noun,C2
tactic,noun,C2
Taymouth,name,C2
Telemark,name,C2
tenacious,adjective,C2
Tenon,name,C2
thot,verb,C2
tinsmiths,noun,C2
tippa,contraction,C2
tiptoe,noun,C2
Topock,name,C2
toros,noun,C2
torrential,adjective,C2
Transylvanians,noun,C2
Twix,noun,C2
unadulterated,adjective,C2
uncataloged,adj,C2
underbrush,noun,C2
unfeasible,adjective,C2
unrated,verb,C2
uprooting,noun,C2
USHL,name,C2
Viedma,name,C2
Vologda,name,C2
warlords,noun,C2
Whorton,name,C2
WIA,name,C2
wonks,noun,C2
wretches,noun,C2
Xavi,name,C2
xir,noun,C2
yinzer,noun,C2
Yisroel,name,C2
ZTA,noun,C2
